[05-Jun-2016 11:57:06 Europe/Paris] PHP Fatal error:  Call to undefined method CustomerManager::getSubList() in E:\EasyPHP\data\localweb\clim\module\client\update_client.php on line 23
[05-Jun-2016 17:25:22 Europe/Paris] PHP Warning:  include(E:/EasyPHP/data/localweb/clim/module/client/class/ProductManager.php): failed to open stream: No such file or directory in E:\EasyPHP\data\localweb\clim\module\product\new_product.php on line 15
[05-Jun-2016 17:25:22 Europe/Paris] PHP Warning:  include(): Failed opening 'E:/EasyPHP/data/localweb/clim/module/client/class/ProductManager.php' for inclusion (include_path='.;C:\php\pear') in E:\EasyPHP\data\localweb\clim\module\product\new_product.php on line 15
[05-Jun-2016 17:25:22 Europe/Paris] PHP Fatal error:  Class 'ProductManager' not found in E:\EasyPHP\data\localweb\clim\module\product\new_product.php on line 16
[05-Jun-2016 17:26:22 Europe/Paris] PHP Fatal error:  Class 'ProductManager' not found in E:\EasyPHP\data\localweb\clim\module\product\new_product.php on line 16
[05-Jun-2016 17:26:51 Europe/Paris] PHP Fatal error:  Call to undefined method ProductManager::getProductList() in E:\EasyPHP\data\localweb\clim\module\product\new_product.php on line 17
[05-Jun-2016 17:32:00 Europe/Paris] PHP Warning:  include(E:/EasyPHP/data/localweb/clim/module/product/class/SubManager.php): failed to open stream: No such file or directory in E:\EasyPHP\data\localweb\clim\module\product\proc\new_product.php on line 21
[05-Jun-2016 17:32:00 Europe/Paris] PHP Warning:  include(): Failed opening 'E:/EasyPHP/data/localweb/clim/module/product/class/SubManager.php' for inclusion (include_path='.;C:\php\pear') in E:\EasyPHP\data\localweb\clim\module\product\proc\new_product.php on line 21
[05-Jun-2016 17:32:00 Europe/Paris] PHP Fatal error:  Class 'ProductManager' not found in E:\EasyPHP\data\localweb\clim\module\product\proc\new_product.php on line 22
[05-Jun-2016 18:07:08 Europe/Paris] PHP Notice:  Undefined index: description in E:\EasyPHP\data\localweb\clim\module\product\class\Product.php on line 13
[05-Jun-2016 18:07:59 Europe/Paris] PHP Notice:  Undefined index: description in E:\EasyPHP\data\localweb\clim\module\product\class\Product.php on line 13
[05-Jun-2016 18:21:18 Europe/Paris] PHP Fatal error:  Call to undefined method CategoryManager::getCategoryByID() in E:\EasyPHP\data\localweb\clim\module\product\update_category.php on line 22
[05-Jun-2016 20:00:25 Europe/Paris] PHP Notice:  Undefined variable: civTab in E:\EasyPHP\data\localweb\clim\module\client\equipment.php on line 48
[05-Jun-2016 20:00:25 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\module\client\equipment.php on line 48
[05-Jun-2016 20:00:25 Europe/Paris] PHP Notice:  Undefined variable: subList in E:\EasyPHP\data\localweb\clim\module\client\equipment.php on line 58
[07-Jun-2016 19:27:28 Europe/Paris] PHP Notice:  Undefined index: adress in E:\EasyPHP\data\localweb\clim\module\client\proc\seek_client.php on line 38
[07-Jun-2016 19:27:28 Europe/Paris] PHP Notice:  Undefined index: adress in E:\EasyPHP\data\localweb\clim\module\client\proc\seek_client.php on line 38
[07-Jun-2016 19:27:28 Europe/Paris] PHP Notice:  Undefined index: adress in E:\EasyPHP\data\localweb\clim\module\client\proc\seek_client.php on line 38
[07-Jun-2016 19:27:28 Europe/Paris] PHP Notice:  Undefined index: adress in E:\EasyPHP\data\localweb\clim\module\client\proc\seek_client.php on line 38
[12-Jan-2017 20:55:45 Europe/Paris] PHP Notice:  Undefined index: dateOfBuy in E:\EasyPHP\data\localweb\clim\fluido\class\Bottle.php on line 23
[12-Jan-2017 20:56:30 Europe/Paris] PHP Notice:  Undefined index: dateOfBuy in E:\EasyPHP\data\localweb\clim\fluido\class\Bottle.php on line 23
[12-Jan-2017 20:57:02 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php on line 101
[12-Jan-2017 21:01:33 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php on line 105
[12-Jan-2017 21:02:45 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php on line 106
[12-Jan-2017 21:03:02 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php on line 106
[12-Jan-2017 21:03:38 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php on line 108
[12-Jan-2017 22:28:17 Europe/Paris] PHP Fatal error:  Call to undefined method GazManager::addGaz() in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 20
[12-Jan-2017 22:28:52 Europe/Paris] PHP Catchable fatal error:  Argument 1 passed to GazManager::addGaz() must be an instance of Gaz, array given, called in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 20 and defined in E:\EasyPHP\data\localweb\clim\fluido\class\GazManager.php on line 12
[12-Jan-2017 22:33:05 Europe/Paris] PHP Catchable fatal error:  Argument 1 passed to GazManager::addGaz() must be an instance of Gaz, array given, called in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 20 and defined in E:\EasyPHP\data\localweb\clim\fluido\class\GazManager.php on line 12
[12-Jan-2017 22:44:15 Europe/Paris] PHP Notice:  Array to string conversion in E:\EasyPHP\data\localweb\clim\fluido\class\GazManager.php on line 72
[14-Jan-2017 13:44:30 Europe/Paris] PHP Fatal error:  Class 'GazManager' not found in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 24
[14-Jan-2017 13:44:46 Europe/Paris] PHP Fatal error:  Class 'GazManager' not found in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 24
[14-Jan-2017 13:45:05 Europe/Paris] PHP Fatal error:  Class 'MoveManager' not found in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 24
[14-Jan-2017 14:52:02 Europe/Paris] PHP Notice:  Undefined variable: GazManager in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 28
[14-Jan-2017 14:52:02 Europe/Paris] PHP Fatal error:  Call to a member function getMove() on a non-object in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 28
[14-Jan-2017 14:52:16 Europe/Paris] PHP Notice:  Undefined variable: GazMove in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 28
[14-Jan-2017 14:52:16 Europe/Paris] PHP Fatal error:  Call to a member function getMove() on a non-object in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 28
[14-Jan-2017 14:52:35 Europe/Paris] PHP Notice:  Undefined variable: getMove in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 28
[14-Jan-2017 14:52:35 Europe/Paris] PHP Fatal error:  Call to a member function getMove() on a non-object in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 28
[14-Jan-2017 15:23:39 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 129
[14-Jan-2017 15:24:31 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 130
[14-Jan-2017 15:43:48 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: parameter was not defined in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 132
[14-Jan-2017 15:49:39 Europe/Paris] PHP Warning:  Missing argument 2 for MoveManager::getMove(), called in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 29 and defined in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 103
[14-Jan-2017 15:49:39 Europe/Paris] PHP Notice:  Undefined variable: param in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 108
[14-Jan-2017 15:51:54 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: parameter was not defined in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 133
[14-Jan-2017 15:53:57 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: parameter was not defined in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 133
[14-Jan-2017 15:54:36 Europe/Paris] PHP Notice:  Undefined variable: tabKey in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 126
[14-Jan-2017 15:54:36 Europe/Paris] PHP Notice:  Undefined variable: tabKey in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 126
[14-Jan-2017 15:54:36 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 130
[14-Jan-2017 15:54:56 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: parameter was not defined in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 130
[14-Jan-2017 15:55:18 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: parameter was not defined in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 130
[14-Jan-2017 16:15:04 Europe/Paris] PHP Notice:  Array to string conversion in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 126
[14-Jan-2017 16:28:29 Europe/Paris] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 36 bytes) in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 149
[14-Jan-2017 16:47:17 Europe/Paris] PHP Notice:  Array to string conversion in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 129
[14-Jan-2017 16:49:53 Europe/Paris] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 131
[14-Jan-2017 16:52:22 Europe/Paris] PHP Notice:  Array to string conversion in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 136
[14-Jan-2017 16:52:22 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 140
[14-Jan-2017 16:52:57 Europe/Paris] PHP Notice:  Array to string conversion in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 137
[14-Jan-2017 16:52:57 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 141
[14-Jan-2017 16:54:45 Europe/Paris] PHP Notice:  Array to string conversion in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 137
[14-Jan-2017 16:54:45 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 141
[14-Jan-2017 16:55:30 Europe/Paris] PHP Notice:  Array to string conversion in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 137
[14-Jan-2017 16:55:30 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 141
[14-Jan-2017 16:56:27 Europe/Paris] PHP Notice:  Array to string conversion in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 140
[14-Jan-2017 16:56:27 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 144
[14-Jan-2017 16:56:53 Europe/Paris] PHP Notice:  Array to string conversion in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 142
[14-Jan-2017 16:56:53 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 146
[14-Jan-2017 16:58:15 Europe/Paris] PHP Notice:  Array to string conversion in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 142
[14-Jan-2017 16:58:15 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 146
[14-Jan-2017 16:59:04 Europe/Paris] PHP Notice:  Array to string conversion in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 144
[14-Jan-2017 16:59:04 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 148
[14-Jan-2017 16:59:52 Europe/Paris] PHP Notice:  Array to string conversion in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 144
[14-Jan-2017 16:59:52 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 148
[14-Jan-2017 17:02:59 Europe/Paris] PHP Notice:  Array to string conversion in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 149
[14-Jan-2017 17:02:59 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens in E:\EasyPHP\data\localweb\clim\fluido\class\MoveManager.php on line 153
[14-Jan-2017 17:56:32 Europe/Paris] PHP Notice:  Undefined variable: result in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 30
[14-Jan-2017 17:57:09 Europe/Paris] PHP Catchable fatal error:  Argument 1 passed to StockGazManager::addStock() must be an instance of StockGaz, instance of StockGazManager given, called in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 26 and defined in E:\EasyPHP\data\localweb\clim\fluido\class\StockGazManager.php on line 10
[14-Jan-2017 18:17:29 Europe/Paris] PHP Notice:  Undefined variable: param in E:\EasyPHP\data\localweb\clim\fluido\class\StockGazManager.php on line 81
[14-Jan-2017 18:17:29 Europe/Paris] PHP Notice:  Undefined variable: param in E:\EasyPHP\data\localweb\clim\fluido\class\StockGazManager.php on line 81
[14-Jan-2017 18:17:29 Europe/Paris] PHP Notice:  Undefined variable: param in E:\EasyPHP\data\localweb\clim\fluido\class\StockGazManager.php on line 81
[14-Jan-2017 18:17:29 Europe/Paris] PHP Notice:  Undefined variable: param in E:\EasyPHP\data\localweb\clim\fluido\class\StockGazManager.php on line 84
[14-Jan-2017 18:51:03 Europe/Paris] PHP Warning:  include(class/Account.php): failed to open stream: No such file or directory in E:\EasyPHP\data\localweb\clim\register\proc\user_connect.php on line 15
[14-Jan-2017 18:51:03 Europe/Paris] PHP Warning:  include(): Failed opening 'class/Account.php' for inclusion (include_path='.;C:\php\pear') in E:\EasyPHP\data\localweb\clim\register\proc\user_connect.php on line 15
[14-Jan-2017 18:51:04 Europe/Paris] PHP Fatal error:  Class 'AccountManager' not found in E:\EasyPHP\data\localweb\clim\register\proc\user_connect.php on line 20
[14-Jan-2017 21:10:12 Europe/Paris] PHP Notice:  Undefined variable: db in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 16
[14-Jan-2017 21:10:12 Europe/Paris] PHP Catchable fatal error:  Argument 1 passed to BottleManager::__construct() must be an instance of PDO, null given, called in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 16 and defined in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php on line 5
[14-Jan-2017 21:10:33 Europe/Paris] PHP Catchable fatal error:  Argument 1 passed to BottleManager::getBottle() must be of the type array, string given, called in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 18 and defined in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php on line 86
[14-Jan-2017 21:44:23 Europe/Paris] PHP Warning:  Missing argument 2 for BottleManager::getBottle(), called in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 18 and defined in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php on line 158
[14-Jan-2017 21:44:23 Europe/Paris] PHP Fatal error:  Uncaught exception 'Exception' with message 'data est vide' in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php:160
Stack trace:
#0 E:\EasyPHP\data\localweb\clim\fluido\index.php(18): BottleManager->getBottle('')
#1 {main}
  thrown in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php on line 160
[14-Jan-2017 21:51:22 Europe/Paris] PHP Warning:  date() expects parameter 2 to be long, array given in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 23
[14-Jan-2017 22:00:57 Europe/Paris] PHP Notice:  Undefined variable: gazManager in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 28
[14-Jan-2017 22:00:57 Europe/Paris] PHP Fatal error:  Call to a member function getGaz() on a non-object in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 28
[14-Jan-2017 22:03:56 Europe/Paris] PHP Notice:  Undefined index: name in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 29
[14-Jan-2017 22:03:56 Europe/Paris] PHP Notice:  Undefined index: name in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 29
[14-Jan-2017 22:20:15 Europe/Paris] PHP Fatal error:  Uncaught exception 'Exception' with message 'Aucun résultat.' in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php:276
Stack trace:
#0 E:\EasyPHP\data\localweb\clim\fluido\index.php(35): BottleManager->getType('4')
#1 {main}
  thrown in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php on line 276
[14-Jan-2017 22:22:29 Europe/Paris] PHP Fatal error:  Uncaught exception 'Exception' with message 'Aucun résultat.' in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php:276
Stack trace:
#0 E:\EasyPHP\data\localweb\clim\fluido\index.php(35): BottleManager->getType('4')
#1 {main}
  thrown in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php on line 276
[14-Jan-2017 22:22:30 Europe/Paris] PHP Fatal error:  Uncaught exception 'Exception' with message 'Aucun résultat.' in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php:276
Stack trace:
#0 E:\EasyPHP\data\localweb\clim\fluido\index.php(35): BottleManager->getType('4')
#1 {main}
  thrown in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php on line 276
[14-Jan-2017 22:24:51 Europe/Paris] PHP Fatal error:  Uncaught exception 'Exception' with message 'Aucun résultat.' in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php:276
Stack trace:
#0 E:\EasyPHP\data\localweb\clim\fluido\index.php(35): BottleManager->getType('4')
#1 {main}
  thrown in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php on line 276
[14-Jan-2017 22:25:20 Europe/Paris] PHP Fatal error:  Uncaught exception 'Exception' with message 'Aucun résultat.' in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php:275
Stack trace:
#0 E:\EasyPHP\data\localweb\clim\fluido\index.php(35): BottleManager->getType('4')
#1 {main}
  thrown in E:\EasyPHP\data\localweb\clim\fluido\class\BottleManager.php on line 275
[16-Jan-2017 20:05:50 Europe/Paris] PHP Warning:  include(fournisseur/Fournisseur.php): failed to open stream: No such file or directory in E:\EasyPHP\data\localweb\clim\test.php on line 8
[16-Jan-2017 20:05:50 Europe/Paris] PHP Warning:  include(): Failed opening 'fournisseur/Fournisseur.php' for inclusion (include_path='.;C:\php\pear') in E:\EasyPHP\data\localweb\clim\test.php on line 8
[16-Jan-2017 20:05:50 Europe/Paris] PHP Fatal error:  Class 'Fournisseur' not found in E:\EasyPHP\data\localweb\clim\test.php on line 10
[16-Jan-2017 20:06:57 Europe/Paris] PHP Catchable fatal error:  Argument 1 passed to FournisseurManager::addFournisseur() must be an instance of Fournisseur, array given, called in E:\EasyPHP\data\localweb\clim\test.php on line 15 and defined in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 10
[16-Jan-2017 20:11:18 Europe/Paris] PHP Warning:  Missing argument 2 for FournisseurManager::getFournisseur(), called in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 17 and defined in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 71
[16-Jan-2017 20:11:18 Europe/Paris] PHP Notice:  Undefined variable: param in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 75
[16-Jan-2017 20:11:18 Europe/Paris] PHP Notice:  Undefined variable: param in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 75
[16-Jan-2017 20:11:18 Europe/Paris] PHP Notice:  Undefined variable: param in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 75
[16-Jan-2017 20:11:18 Europe/Paris] PHP Notice:  Undefined variable: param in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 78
[16-Jan-2017 20:30:33 Europe/Paris] PHP Fatal error:  Class 'FournisseurManager' not found in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 22
[16-Jan-2017 20:30:48 Europe/Paris] PHP Warning:  Missing argument 2 for FournisseurManager::getFournisseur(), called in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 52 and defined in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 76
[16-Jan-2017 20:30:48 Europe/Paris] PHP Notice:  Undefined variable: param in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 80
[16-Jan-2017 20:30:48 Europe/Paris] PHP Notice:  Undefined variable: param in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 80
[16-Jan-2017 20:30:48 Europe/Paris] PHP Notice:  Undefined variable: param in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 80
[16-Jan-2017 20:30:48 Europe/Paris] PHP Notice:  Undefined variable: param in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 83
[16-Jan-2017 20:30:48 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 90
[16-Jan-2017 20:30:48 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 113
[16-Jan-2017 20:31:03 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 90
[16-Jan-2017 20:31:03 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 113
[16-Jan-2017 20:35:08 Europe/Paris] PHP Notice:  Undefined offset: 0 in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 53
[16-Jan-2017 20:38:39 Europe/Paris] PHP Notice:  Undefined index: fournisseurId in E:\EasyPHP\data\localweb\clim\fluido\index.php on line 53
[16-Jan-2017 20:40:35 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 91
[16-Jan-2017 20:40:35 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\fournisseur\class\FournisseurManager.php on line 114
[16-Jan-2017 22:00:11 Europe/Paris] PHP Warning:  include(../../config.php): failed to open stream: No such file or directory in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 3
[16-Jan-2017 22:00:11 Europe/Paris] PHP Warning:  include(): Failed opening '../../config.php' for inclusion (include_path='.;C:\php\pear') in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 3
[16-Jan-2017 22:00:57 Europe/Paris] PHP Notice:  Constant DIR_ROOT already defined in E:\EasyPHP\data\localweb\clim\config.php on line 9
